,Unnamed: 0,question,answer,context,mostUse,Newquestion,Question_Generate,Answer_Generate
112,112,Beyonce starred with Cuba Gooding Jr. in which film?,The Fighting Temptations,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack **album** entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film soundtrack **album** missy elliott lyte free also used promote film another beyoncé contributions soundtrack summertime fared better charts,"('album', 2)","(""What was the name of beyoncé's film soundtrack?"", 'album [TGT] entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film soundtrack [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the name of beyoncé's film soundtrack?,album  entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film soundtrack  album
113,113,"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?",Missy Elliott,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers **comedy** film austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical **comedy** fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another beyoncé contributions soundtrack summertime fared better charts,"('comedy', 2)","('What genre of film did july beyonce star in alongside mike myers?', 'comedy [TGT] film austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical [TGT] comedy', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What genre of film did july beyonce star in alongside mike myers?,comedy  film austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical  comedy
114,114,Which other song from the soundtrack did better in the charts?,Summertime,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers comedy **film** austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love **film** received mixed reviews critics grossed million beyoncé released fighting temptation lead single **film** soundtrack album missy elliott lyte free also used promote **film** another beyoncé contributions soundtrack summertime fared better charts,"('film', 4)","('What film did july beyonce continue acting in?', 'film [TGT] austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love [TGT] film [TGT] received mixed reviews critics grossed million beyoncé released fighting temptation lead single [TGT] film [TGT] soundtrack album missy elliott lyte free also used promote [TGT] film', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What film did july beyonce continue acting in?,film  austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love  film  received mixed reviews critics grossed million beyoncé released fighting temptation lead single  film  soundtrack album missy elliott lyte free also used promote  film
115,115,What film did Beyonce appear in with Mike Myers?,Austin Powers in Goldmember,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office **grossed** million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics **grossed** million beyoncé released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another beyoncé contributions soundtrack summertime fared better charts,"('grossed', 2)","('How much money did beyoncé make from her music?', 'grossed [TGT] million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics [TGT] grossed', ['Word not found in Wordnet. So unable to extract distractors.'], None)",How much money did beyoncé make from her music?,grossed  million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics  grossed
116,116,"What large amount did the movie ""Goldmember"" gross?",73 million,july **beyoncé** continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million **beyoncé** released work lead single soundtrack album entered norway belgium **beyoncé** starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million **beyoncé** released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another **beyoncé** contributions soundtrack summertime fared better charts,"('beyoncé', 5)","('When did july beyoncé release a work lead single soundtrack album?', 'beyoncé [TGT] continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million [TGT] beyoncé [TGT] released work lead single soundtrack album entered norway belgium [TGT] beyoncé [TGT] starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million [TGT] beyoncé [TGT] released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)",When did july beyoncé release a work lead single soundtrack album?,beyoncé  continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million  beyoncé  released work lead single soundtrack album entered norway belgium  beyoncé  starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million  beyoncé  released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another  beyoncé
117,117,"What genre of movie did Beyonce star in with Cuba Gooding, Jr?",musical comedy,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million beyoncé **released** work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé **released** fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another beyoncé contributions soundtrack summertime fared better charts,"('released', 2)","('How much money did beyoncé make from her music?', 'released [TGT] work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé [TGT] released', ['Word not found in Wordnet. So unable to extract distractors.'], None)",How much money did beyoncé make from her music?,released  work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé  released
118,118,What song was the lead single from the film's sound track?,Fighting Temptations,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers **comedy** film austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical **comedy** fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another beyoncé contributions soundtrack summertime fared better charts,"('comedy', 2)","('What genre of film did july beyonce star in alongside mike myers?', 'comedy [TGT] film austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical [TGT] comedy', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What genre of film did july beyonce star in alongside mike myers?,comedy  film austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical  comedy
119,119,"How did the critics view the movie, ''The Fighting Temptations''?",mixed reviews,july **beyoncé** continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million **beyoncé** released work lead single soundtrack album entered norway belgium **beyoncé** starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million **beyoncé** released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another **beyoncé** contributions soundtrack summertime fared better charts,"('beyoncé', 5)","('When did july beyoncé release a work lead single soundtrack album?', 'beyoncé [TGT] continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million [TGT] beyoncé [TGT] released work lead single soundtrack album entered norway belgium [TGT] beyoncé [TGT] starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million [TGT] beyoncé [TGT] released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)",When did july beyoncé release a work lead single soundtrack album?,beyoncé  continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million  beyoncé  released work lead single soundtrack album entered norway belgium  beyoncé  starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million  beyoncé  released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another  beyoncé
120,120,What film did Beyoncé star in with Mike Myers in 2002?,Austin Powers in Goldmember,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack **album** entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film soundtrack **album** missy elliott lyte free also used promote film another beyoncé contributions soundtrack summertime fared better charts,"('album', 2)","(""What was the name of beyoncé's film soundtrack?"", 'album [TGT] entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film soundtrack [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the name of beyoncé's film soundtrack?,album  entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film soundtrack  album
121,121,What was Beyoncé's character called in Austin Powers in Goldmember?,Foxxy Cleopatra,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single **soundtrack** album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film **soundtrack** album missy elliott lyte free also used promote film another beyoncé contributions **soundtrack** summertime fared better charts,"('soundtrack', 3)","('What did beyoncé release to promote another film?', 'soundtrack [TGT] album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film [TGT] soundtrack [TGT] album missy elliott lyte free also used promote film another beyoncé contributions [TGT] soundtrack', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What did beyoncé release to promote another film?,soundtrack  album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation lead single film  soundtrack  album missy elliott lyte free also used promote film another beyoncé contributions  soundtrack
122,122,Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,Work It Out,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million beyoncé released work **lead** single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation **lead** single film soundtrack album missy elliott lyte free also used promote film another beyoncé contributions soundtrack summertime fared better charts,"('lead', 2)","('What did beyoncé release?', 'lead [TGT] single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation [TGT] lead', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What did beyoncé release?,lead  single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million beyoncé released fighting temptation  lead
123,123,"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?",The Fighting Temptations,july **beyoncé** continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million **beyoncé** released work lead single soundtrack album entered norway belgium **beyoncé** starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million **beyoncé** released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another **beyoncé** contributions soundtrack summertime fared better charts,"('beyoncé', 5)","('When did july beyoncé release a work lead single soundtrack album?', 'beyoncé [TGT] continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million [TGT] beyoncé [TGT] released work lead single soundtrack album entered norway belgium [TGT] beyoncé [TGT] starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million [TGT] beyoncé [TGT] released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)",When did july beyoncé release a work lead single soundtrack album?,beyoncé  continued acting career playing foxxy cleopatra alongside mike myers comedy film austin powers goldmember spent first weekend atop office grossed million  beyoncé  released work lead single soundtrack album entered norway belgium  beyoncé  starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love film received mixed reviews critics grossed million  beyoncé  released fighting temptation lead single film soundtrack album missy elliott lyte free also used promote film another  beyoncé
124,124,What song did Beyoncé release as the lead single from The Fighting Tempations?,Fighting Temptations,july beyoncé continued acting career playing foxxy cleopatra alongside mike myers comedy **film** austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love **film** received mixed reviews critics grossed million beyoncé released fighting temptation lead single **film** soundtrack album missy elliott lyte free also used promote **film** another beyoncé contributions soundtrack summertime fared better charts,"('film', 4)","('What film did july beyonce continue acting in?', 'film [TGT] austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love [TGT] film [TGT] received mixed reviews critics grossed million beyoncé released fighting temptation lead single [TGT] film [TGT] soundtrack album missy elliott lyte free also used promote [TGT] film', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What film did july beyonce continue acting in?,film  austin powers goldmember spent first weekend atop office grossed million beyoncé released work lead single soundtrack album entered norway belgium beyoncé starred opposite cuba gooding musical comedy fighting temptations lilly single mother gooding character falls love  film  received mixed reviews critics grossed million beyoncé released fighting temptation lead single  film  soundtrack album missy elliott lyte free also used promote  film
125,125,What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,number four,beyoncé **first** solo recording feature bonnie clyde released october peaking number four billboard chart **first** solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies **first** week debuted atop billboard since sold million copies worldwide album lead single crazy love featuring became beyoncé **first** number single solo artist single baby also reached number singles naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('first', 4)","('When did beyonce release her first solo album?', 'first [TGT] solo recording feature bonnie clyde released october peaking number four billboard chart [TGT] first [TGT] solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies [TGT] first [TGT] week debuted atop billboard since sold million copies worldwide album lead single crazy love featuring became beyoncé [TGT] first', ['Word not found in Wordnet. So unable to extract distractors.'], None)",When did beyonce release her first solo album?,first  solo recording feature bonnie clyde released october peaking number four billboard chart  first  solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies  first  week debuted atop billboard since sold million copies worldwide album lead single crazy love featuring became beyoncé  first
126,126,Beyonce's first album by herself was called what?,Dangerously in Love,beyoncé first solo recording feature bonnie clyde released october peaking number four billboard chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead **single** crazy love featuring became beyoncé first number **single** solo artist **single** baby also reached number **single**s naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('single', 3)","('What was the title of the album lead single?', 'single [TGT] crazy love featuring became beyoncé first number [TGT] single [TGT] solo artist [TGT] single [TGT] baby also reached number [TGT] single', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the title of the album lead single?,single  crazy love featuring became beyoncé first number  single  solo artist  single  baby also reached number  single
127,127,"How many has ""Dangerously in Love"" sould worldwide since its debut?",11 million,beyoncé first solo recording feature bonnie clyde released october peaking number four **billboard** chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop **billboard** since sold million copies worldwide album lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('billboard', 2)","(""What was the name of beyonce's first solo album?"", 'billboard [TGT] chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop [TGT] billboard', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the name of beyonce's first solo album?,billboard  chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop  billboard
128,128,Beyonce's first number one song was which song?,Crazy in Love,beyoncé first solo recording feature bonnie clyde released october peaking number four billboard chart first solo **album** dangerously love released june michelle williams kelly rowland released solo efforts **album** sold copies first week debuted atop billboard since sold million copies worldwide **album** lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five **album** earned beyoncé record tying five awards annual grammy awards best contemporary **album** best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('album', 5)","(""What was the name of beyonce's first solo album?"", 'album [TGT] dangerously love released june michelle williams kelly rowland released solo efforts [TGT] album [TGT] sold copies first week debuted atop billboard since sold million copies worldwide [TGT] album [TGT] lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five [TGT] album [TGT] earned beyoncé record tying five awards annual grammy awards best contemporary [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the name of beyonce's first solo album?,album  dangerously love released june michelle williams kelly rowland released solo efforts  album  sold copies first week debuted atop billboard since sold million copies worldwide  album  lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five  album  earned beyoncé record tying five awards annual grammy awards best contemporary  album
129,129,How many top five singles came from her first album?,four,beyoncé first solo recording feature bonnie clyde **released** october peaking number four billboard chart first solo album dangerously love **released** june michelle williams kelly rowland **released** solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('released', 3)","('When did beyonce release her first solo album?', 'released [TGT] october peaking number four billboard chart first solo album dangerously love [TGT] released [TGT] june michelle williams kelly rowland [TGT] released', ['Word not found in Wordnet. So unable to extract distractors.'], None)",When did beyonce release her first solo album?,released  october peaking number four billboard chart first solo album dangerously love  released  june michelle williams kelly rowland  released
130,130,Beyonce's first solo album in the U.S. with what artist in the lead single?,Jay Z,beyoncé first solo recording feature bonnie clyde released october peaking number four billboard chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead **single** crazy love featuring became beyoncé first number **single** solo artist **single** baby also reached number **single**s naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('single', 3)","('What was the title of the album lead single?', 'single [TGT] crazy love featuring became beyoncé first number [TGT] single [TGT] solo artist [TGT] single [TGT] baby also reached number [TGT] single', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the title of the album lead single?,single  crazy love featuring became beyoncé first number  single  solo artist  single  baby also reached number  single
131,131,What solo album did Beyonce release in 2003?,Dangerously in Love,beyoncé first solo recording feature bonnie clyde released october peaking **number** four billboard chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead single crazy love featuring became beyoncé first **number** single solo artist single baby also reached **number** singles naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('number', 3)","(""What number did beyoncé's first solo album dangerously love reach?"", 'number [TGT] four billboard chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead single crazy love featuring became beyoncé first [TGT] number [TGT] single solo artist single baby also reached [TGT] number', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What number did beyoncé's first solo album dangerously love reach?,number  four billboard chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead single crazy love featuring became beyoncé first  number  single solo artist single baby also reached  number
132,132," The album, Dangerously in Love  achieved what spot on the Billboard Top 100 chart?",number four,beyoncé first solo recording feature bonnie clyde **released** october peaking number four billboard chart first solo album dangerously love **released** june michelle williams kelly rowland **released** solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('released', 3)","('When did beyonce release her first solo album?', 'released [TGT] october peaking number four billboard chart first solo album dangerously love [TGT] released [TGT] june michelle williams kelly rowland [TGT] released', ['Word not found in Wordnet. So unable to extract distractors.'], None)",When did beyonce release her first solo album?,released  october peaking number four billboard chart first solo album dangerously love  released  june michelle williams kelly rowland  released
133,133,"""The Closer I get to You"" was recorded with which artist?",Luther Vandross,beyoncé first solo recording feature bonnie clyde released october peaking number four **billboard** chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop **billboard** since sold million copies worldwide album lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('billboard', 2)","(""What was the name of beyonce's first solo album?"", 'billboard [TGT] chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop [TGT] billboard', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the name of beyonce's first solo album?,billboard  chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop  billboard
134,134,Which artist was associated with Beyoncé's premiere solo recording?,Jay Z,beyoncé first solo recording feature bonnie clyde released october peaking number four billboard chart first solo **album** dangerously love released june michelle williams kelly rowland released solo efforts **album** sold copies first week debuted atop billboard since sold million copies worldwide **album** lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five **album** earned beyoncé record tying five awards annual grammy awards best contemporary **album** best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('album', 5)","(""What was the name of beyonce's first solo album?"", 'album [TGT] dangerously love released june michelle williams kelly rowland released solo efforts [TGT] album [TGT] sold copies first week debuted atop billboard since sold million copies worldwide [TGT] album [TGT] lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five [TGT] album [TGT] earned beyoncé record tying five awards annual grammy awards best contemporary [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the name of beyonce's first solo album?,album  dangerously love released june michelle williams kelly rowland released solo efforts  album  sold copies first week debuted atop billboard since sold million copies worldwide  album  lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five  album  earned beyoncé record tying five awards annual grammy awards best contemporary  album
135,135,When did Beyoncé release her first solo album?,"June 24, 2003",beyoncé first solo recording feature bonnie clyde released october peaking number four billboard chart first solo album dangerously **love** released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead single crazy **love** featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously **love** best song best sung collaboration crazy **love** best performance group vocals closer luther vandross,"('love', 4)","(""What was the name of beyonce's first solo album?"", 'love [TGT] released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead single crazy [TGT] love [TGT] featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously [TGT] love [TGT] best song best sung collaboration crazy [TGT] love', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the name of beyonce's first solo album?,love  released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead single crazy  love  featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously  love  best song best sung collaboration crazy  love
136,136,What is the lead single on Beyoncé's first album?,Crazy in Love,beyoncé first solo recording feature bonnie clyde released october peaking number four billboard chart first solo **album** dangerously love released june michelle williams kelly rowland released solo efforts **album** sold copies first week debuted atop billboard since sold million copies worldwide **album** lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five **album** earned beyoncé record tying five awards annual grammy awards best contemporary **album** best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('album', 5)","(""What was the name of beyonce's first solo album?"", 'album [TGT] dangerously love released june michelle williams kelly rowland released solo efforts [TGT] album [TGT] sold copies first week debuted atop billboard since sold million copies worldwide [TGT] album [TGT] lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five [TGT] album [TGT] earned beyoncé record tying five awards annual grammy awards best contemporary [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the name of beyonce's first solo album?,album  dangerously love released june michelle williams kelly rowland released solo efforts  album  sold copies first week debuted atop billboard since sold million copies worldwide  album  lead single crazy love featuring became beyoncé first number single solo artist single baby also reached number singles naughty girl reached five  album  earned beyoncé record tying five awards annual grammy awards best contemporary  album
137,137,Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,Luther Vandross.,beyoncé first solo recording feature bonnie clyde released october peaking number four billboard chart first solo album dangerously love released june michelle williams kelly rowland released solo efforts album sold copies first week debuted atop billboard since sold million copies worldwide album lead **single** crazy love featuring became beyoncé first number **single** solo artist **single** baby also reached number **single**s naughty girl reached five album earned beyoncé record tying five awards annual grammy awards best contemporary album best female vocal performance dangerously love best song best sung collaboration crazy love best performance group vocals closer luther vandross,"('single', 3)","('What was the title of the album lead single?', 'single [TGT] crazy love featuring became beyoncé first number [TGT] single [TGT] solo artist [TGT] single [TGT] baby also reached number [TGT] single', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the title of the album lead single?,single  crazy love featuring became beyoncé first number  single  solo artist  single  baby also reached number  single
