,Unnamed: 0,question,answer,context,mostUse,Newquestion
192,192,Where did Beyonce donate her salary from the movie Cadillac Records?,Phoenix House,**beyoncé** expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress **beyoncé** donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january **beyoncé** performed james last first couple first inaugural ball **beyoncé** starred opposite larter idris elba thriller obsessed played sharon charles mother wife learns woman obsessive behavior husband although film received negative reviews critics movie well office grossing million million cadillac records budget million fight scene finale sharon character played larter also movie award best fight,"('beyoncé', 4)","('What movie received praise for its performance?', 'beyoncé [TGT] expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress [TGT] beyoncé [TGT] donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january [TGT] beyoncé [TGT] performed james last first couple first inaugural ball [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
193,193,What thriller film did Beyonce star in?,Obsessed,**beyoncé** expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress **beyoncé** donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january **beyoncé** performed james last first couple first inaugural ball **beyoncé** starred opposite larter idris elba thriller obsessed played sharon charles mother wife learns woman obsessive behavior husband although film received negative reviews critics movie well office grossing million million cadillac records budget million fight scene finale sharon character played larter also movie award best fight,"('beyoncé', 4)","('What movie received praise for its performance?', 'beyoncé [TGT] expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress [TGT] beyoncé [TGT] donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january [TGT] beyoncé [TGT] performed james last first couple first inaugural ball [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
194,194,What was the name of the woman she played in Obsessed?,Sharon Charles,**beyoncé** expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress **beyoncé** donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january **beyoncé** performed james last first couple first inaugural ball **beyoncé** starred opposite larter idris elba thriller obsessed played sharon charles mother wife learns woman obsessive behavior husband although film received negative reviews critics movie well office grossing million million cadillac records budget million fight scene finale sharon character played larter also movie award best fight,"('beyoncé', 4)","('What movie received praise for its performance?', 'beyoncé [TGT] expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress [TGT] beyoncé [TGT] donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january [TGT] beyoncé [TGT] performed james last first couple first inaugural ball [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
195,195,How much more that the buget did the film gross?,60 million,**beyoncé** expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress **beyoncé** donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january **beyoncé** performed james last first couple first inaugural ball **beyoncé** starred opposite larter idris elba thriller obsessed played sharon charles mother wife learns woman obsessive behavior husband although film received negative reviews critics movie well office grossing million million cadillac records budget million fight scene finale sharon character played larter also movie award best fight,"('beyoncé', 4)","('What movie received praise for its performance?', 'beyoncé [TGT] expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress [TGT] beyoncé [TGT] donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january [TGT] beyoncé [TGT] performed james last first couple first inaugural ball [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
196,196,Which singer did Beyoncé portray in Cadillac Records?,Etta James,**beyoncé** expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress **beyoncé** donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january **beyoncé** performed james last first couple first inaugural ball **beyoncé** starred opposite larter idris elba thriller obsessed played sharon charles mother wife learns woman obsessive behavior husband although film received negative reviews critics movie well office grossing million million cadillac records budget million fight scene finale sharon character played larter also movie award best fight,"('beyoncé', 4)","('What movie received praise for its performance?', 'beyoncé [TGT] expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress [TGT] beyoncé [TGT] donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january [TGT] beyoncé [TGT] performed james last first couple first inaugural ball [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
197,197,Which organization received Beyoncé's entire Cadillac Records salary?,Phoenix House,**beyoncé** expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress **beyoncé** donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january **beyoncé** performed james last first couple first inaugural ball **beyoncé** starred opposite larter idris elba thriller obsessed played sharon charles mother wife learns woman obsessive behavior husband although film received negative reviews critics movie well office grossing million million cadillac records budget million fight scene finale sharon character played larter also movie award best fight,"('beyoncé', 4)","('What movie received praise for its performance?', 'beyoncé [TGT] expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress [TGT] beyoncé [TGT] donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january [TGT] beyoncé [TGT] performed james last first couple first inaugural ball [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
198,198,"Where did Beyoncé perform on January 20, 2009?",the First Couple's first inaugural ball.,**beyoncé** expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress **beyoncé** donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january **beyoncé** performed james last first couple first inaugural ball **beyoncé** starred opposite larter idris elba thriller obsessed played sharon charles mother wife learns woman obsessive behavior husband although film received negative reviews critics movie well office grossing million million cadillac records budget million fight scene finale sharon character played larter also movie award best fight,"('beyoncé', 4)","('What movie received praise for its performance?', 'beyoncé [TGT] expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress [TGT] beyoncé [TGT] donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january [TGT] beyoncé [TGT] performed james last first couple first inaugural ball [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
199,199,Which thriller film did Beyoncé star in with Ali Larter?,Obsessed.,**beyoncé** expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress **beyoncé** donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january **beyoncé** performed james last first couple first inaugural ball **beyoncé** starred opposite larter idris elba thriller obsessed played sharon charles mother wife learns woman obsessive behavior husband although film received negative reviews critics movie well office grossing million million cadillac records budget million fight scene finale sharon character played larter also movie award best fight,"('beyoncé', 4)","('What movie received praise for its performance?', 'beyoncé [TGT] expanded acting career starring blues singer etta james musical biopic cadillac records performance film received praise critics garnered several nominations portrayal james including satellite award nomination best supporting actress naacp image award nomination outstanding supporting actress [TGT] beyoncé [TGT] donated entire salary film phoenix house organization rehabilitation centers heroin addicts around country january [TGT] beyoncé [TGT] performed james last first couple first inaugural ball [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
200,200,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,ten,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
201,201,Beyonce tied with which artist for most nominations by a female artist?,Lauryn Hill,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
202,202,"In 2010, Beyonce worked with which other famous singer?",Lady Gaga,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
203,203,"How many number one singles did Beyonce now have after the song ""Telephone""?",six,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
204,204,Beyonce tied who for most number one singles by a female?,Mariah Carey,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
205,205,Beyonce received how many nominations at the 52nd Annual Grammy Awards?,ten nominations,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
206,206,What song was the sixth first place song for Beyonce?,Telephone,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
207,207,Who else appeared with Beyonce in Telephone?,Lady Gaga,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
208,208,Who did they tie with for six top songs?,Mariah Carey,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
209,209,Who did Beyonce tie with for the most nominations in a year?,Lauryn Hill,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
210,210,How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,ten,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
211,211,Who did Beyoncé tie with for the most Grammy nominations for female artists?,Lauryn Hill,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
212,212,"Beyoncé was a featured artist on which singer's hit, Telephone?",Lady Gaga,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
213,213,Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,Mariah Carey,annual grammy awards beyoncé received nominations including album **year** sasha fierce record **year** halo song **year** single ladies ring among others tied lauryn hill grammy nominations single **year** female artist beyoncé featured lady gaga single telephone music video song topped songs chart becoming sixth number beyoncé gaga tying mariah carey number ones since nielsen airplay chart launched telephone received grammy award nomination best collaboration vocals,"('year', 4)","('What grammy nominations did beyonce receive?', 'year [TGT] sasha fierce record [TGT] year [TGT] halo song [TGT] year [TGT] single ladies ring among others tied lauryn hill grammy nominations single [TGT] year', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
214,214,Beyonce would take a break from music in which year?,2010,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
215,215,Which year did Beyonce and her father part business ways?,2010,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
216,216,Which famous landmark did Beyonce see in China?,the Great Wall of China,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
217,217,In what year did Beyonce have her hiatus?,2010,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
218,218,Who inspired this hiatus?,her mother,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
219,219,When did she stop using her father as a manager?,During the break,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
220,220,How long did the hiatus last?,nine months,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
221,221,What did Beyoncé announce in January 2010?,a hiatus,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
222,222,Who suggested the hiatus for Beyoncé?,her mother,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
223,223,Who did Beyoncé part ways with during her hiatus?,her father,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
224,224,How long did her hiatus last?,nine months,**beyoncé** announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners **beyoncé** musical break lasted nine months visit multiple european cities great wall china egyptian pyramids australia english music festivals various museums ballet performances,"('beyoncé', 2)","('What did Beyoncé do to help break father parted ways business partners?', 'beyoncé [TGT] announced hiatus music career january heeding mother advice live life inspired things break father parted ways business partners [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
225,225,In which year was reports about Beyonce performing for Muammar Gaddafi surface?,2011,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
226,226,Who did Beyonce donate the money to earned from her shows?,Clinton Bush Haiti Fund,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
227,227,Beyonce became the first female artist to perform solo in 20 years at which stage?,the 2011 Glastonbury Festival,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
228,228,Which organization did Beyonce's spokespeople confirm her donations to?,The Huffington Post,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
229,229,Beyonce was listed in 2011 as the highest paid performer per what?,minute,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
230,230,Hoe did everyone learn that Beyonce performed for Kaddafi?,documents obtained by WikiLeaks,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
231,231,When did this leak happen?,2011,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
232,232,Who did she tell about the donation?,The Huffington Post,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
233,233,Where did Beyonce perform in 2011?,Glastonbury Festival,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
234,234,Who did Beyoncé perform privately for in 2011?,Muammar Gaddafi.,documents obtained wikileaks revealed **beyoncé** many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson **beyoncé** later confirmed huffington post donated money clinton bush haiti fund later year became first solo female artist headline main pyramid stage glastonbury festival twenty years named highest paid performer world minute,"('beyoncé', 2)","('Who was the spokesperson for wikileaks?', 'beyoncé [TGT] many entertainers performed family libyan ruler muammar gaddafi rolling stone reported music industry urging return money earned concerts spokesperson [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
