,question,distractor3,distractor1,distractor2,correct_answer,support,mostUse,newQuestion,Question_Generate,Answer_Generate
45,Hard igneous rocks and easily dissolved sedimentary rocks respond very differently to what natural force?,evaporation,gravity,sunlight,weathering,type rock weathers **certain** types rock resistant weathering igneous rocks tend weather slowly hard water cannot easily penetrate granite stable igneous rock types rock easily weathered dissolve easily weak acids limestone sedimentary rock dissolves easily softer rocks wear away resistant rocks form ridges hills,"('certain', 1)","('What type of weathering are igneous rocks resistant to?', 'certain', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of weathering are igneous rocks resistant to?,certain
46,A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?,vitamin C,niacin,vitamin A,vitamin d,skeletal system problems include osteoporosis bone **fractures** ligament sprains diet rick calcium vitamin reduce risk osteoporosis related bone **fractures** following safe practices also reduce risk **fractures** well sprains,"('fractures', 3)","('What does rick calcium vitamin reduce risk of?', 'fractures [TGT] ligament sprains diet rick calcium vitamin reduce risk osteoporosis related bone [TGT] fractures [TGT] following safe practices also reduce risk [TGT] fractures', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does rick calcium vitamin reduce risk of?,fractures  ligament sprains diet rick calcium vitamin reduce risk osteoporosis related bone  fractures  following safe practices also reduce risk  fractures
47,How many people die from air pollution each year?,5 million,14 million,17 million,22 million,pollution harmful human beings living things million people pollution year breathing polluted increases risk developing **lung** diseases asthma **lung** cancer breathing also increases chances dying diseases children likely affected pollution **lung**s still developing growing children also take size adults pollutants damage environment well health living things type damage depends pollutant pollution also harm environment,"('lung', 2)","('What kind of lung diseases are there?', 'lung [TGT] diseases asthma [TGT] lung [TGT] cancer breathing also increases chances dying diseases children likely affected pollution [TGT] lung', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What kind of lung diseases are there?,lung  diseases asthma  lung  cancer breathing also increases chances dying diseases children likely affected pollution  lung
48,What substances serve as catalysts in most of the biochemical reactions that take place in organisms?,iseotrops,hormones,carbohydrates,enzymes,enzymes involved biochemical reactions take place organisms reactions known **catalyzed** enzymes number even higher enzymes allow reactions occur rate necessary life,"('catalyzed', 1)","('What type of enzymes are involved in biochemical reactions?', 'catalyzed', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of enzymes are involved in biochemical reactions?,catalyzed
49,The formation of an amalgam allows the metal to react with what?,blood and sweat,helium and oxygen,cloth and plastic,air and water,metals group reactive however passivation occurs tough hard thin film metal oxide forms upon exposure disruption film counter passivation allowing metal react disrupt film **expose** passivated metal mercury metal dissolves mercury form amalgam sheds protective oxide layer **expose** metal reaction formation amalgam allows metal react water,"('expose', 2)","('What is the name of the protective oxide layer?', 'expose [TGT] passivated metal mercury metal dissolves mercury form amalgam sheds protective oxide layer [TGT] expose', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the name of the protective oxide layer?,expose  passivated metal mercury metal dissolves mercury form amalgam sheds protective oxide layer  expose
50,A pulley changes the direction of the force t exerted by the cord without changing its what?,position,longitude,latitude,magnitude,automobile axle drives wheel much larger diameter axle less **ordinary** pulley used lift heavy load pulley changes direction force exerted cord without changing magnitude hence machine,"('ordinary', 1)","('What type of pulley is used to change direction force exerted cord without changing magnitude?', 'ordinary', ['Amphidiploidy', 'Diploidy', 'Fortune', 'Haploidy', 'Heteroploidy', 'Invagination', 'Lysogeny', 'Mosaicism', 'Orphanage', 'Polyploidy', 'Roots', 'Stigmatism', 'Stratification', 'Transsexualism'], 'the expected or commonplace condition or situation')",What type of pulley is used to change direction force exerted cord without changing magnitude?,ordinary
51,What is the name of the small bumps that contain taste buds and covers the tongue?,cuticle,lingual tonsils,palatine tonsils,papillae,figure tongue tongue covered small bumps called papillae contain taste buds sensitive chemicals ingested food drink different types papillae found different regions tongue taste buds contain specialized gustatory receptor **cells** respond chemical stimuli dissolved saliva receptor **cells** activate sensory neurons part facial glossopharyngeal nerves micrograph provided regents university michigan medical school,"('cells', 2)","('What do tongue taste buds contain specialized gustatory receptor?', 'cells [TGT] respond chemical stimuli dissolved saliva receptor [TGT] cells', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What do tongue taste buds contain specialized gustatory receptor?,cells  respond chemical stimuli dissolved saliva receptor  cells
52,"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?",motion,velocity,weight,gravity,drop bowling ball soccer ball time distance ground bowling ball greater mass basketball pull **gravity** greater would fall ground faster bowling ball basketball would reach ground time reason massive bowling ball also harder move greater mass ends moving acceleration soccer ball true falling objects accelerate rate **gravity** unless resistance affects object another example falling leaf slowed resistance falling acorn leaf greater surface area simulate effect resistance acceleration **gravity** interactive animation http science animations support files freefall,"('gravity', 3)","('What does TGT stand for?', 'gravity [TGT] greater would fall ground faster bowling ball basketball would reach ground time reason massive bowling ball also harder move greater mass ends moving acceleration soccer ball true falling objects accelerate rate [TGT] gravity [TGT] unless resistance affects object another example falling leaf slowed resistance falling acorn leaf greater surface area simulate effect resistance acceleration [TGT] gravity', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does TGT stand for?,gravity  greater would fall ground faster bowling ball basketball would reach ground time reason massive bowling ball also harder move greater mass ends moving acceleration soccer ball true falling objects accelerate rate  gravity  unless resistance affects object another example falling leaf slowed resistance falling acorn leaf greater surface area simulate effect resistance acceleration  gravity
53,The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?,moderate permeability,periodic permeability,total permeability,selective permeability,plasma membrane forms barrier cytoplasm **inside** cell environment outside cell protects supports cell also controls everything enters leaves cell allows certain substances pass keeping others ability allow certain molecules cell referred selective permeability semipermeability understand plasma membrane controls crosses cell need know composition,"('inside', 1)","('Where does plasma membrane form barrier cytoplasm?', 'inside', ['Aerospace', 'Air', 'Atmosphere', 'Belt', 'Biosphere', 'Black Hole', 'Bottom', 'County', 'Deep Space', 'Depth', 'Distance', 'Eden', 'Extremity', 'Heliosphere', 'Hell', 'Intergalactic Space', 'Interplanetary Space', 'Interstellar Space', 'Ionosphere', 'Kuiper Belt', 'Layer', 'Mare', 'Outside', 'Papua', 'Radius', 'Side', 'Sign Of The Zodiac', 'Sind', 'Top', 'Vacuum', 'Zodiac', 'Zone'], 'the region that is inside of something')",Where does plasma membrane form barrier cytoplasm?,inside
54,"In the presence of oxygen, hydrogen can interact to make what?",acid,carbon,helium,water,pile leaves slowly rots backyard presence oxygen hydrogen interact **make** water gold stretched thin wires,"('make', 1)","('What does oxygen hydrogen interact with?', 'make', ['Antitype', 'Art Form', 'Brand', 'Color', 'Description', 'Flavor', 'Genre', 'Genus', 'Like', 'Manner', 'Model', 'Species', 'Stripe', 'Style', 'Type'], 'a recognizable kind')",What does oxygen hydrogen interact with?,make
55,What galaxy is our solar system a part of?,Bode's Galaxy,Centaurus,Andromeda,milky way,compared earth solar system place galaxies bigger bigger galaxy large group **stars** held together gravity enormous galaxy many **stars** contains impossible really understand galaxy contains billion **stars** solar system milky galaxy large solar system size fist galaxy disk would wider entire united states several different types galaxies billions galaxies universe,"('stars', 3)","('What does TGT stand for?', 'stars [TGT] held together gravity enormous galaxy many [TGT] stars [TGT] contains impossible really understand galaxy contains billion [TGT] stars', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does TGT stand for?,stars  held together gravity enormous galaxy many  stars  contains impossible really understand galaxy contains billion  stars
56,The angle at which light bends when it enters a different medium is known as what?,resonance,bounce,frequency,refraction,angle light bends enters different medium depends change speed **greater** change speed **greater** angle refraction example light refracts passes diamond passes water speed light slower diamond water,"('greater', 2)","('What does angle light bends enters different medium depends on?', 'greater [TGT] change speed [TGT] greater', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does angle light bends enters different medium depends on?,greater  change speed  greater
57,"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",oxygen molecules,lipid molecules,protein molecules,carbohydrate molecules,energy cycle whether organism bacterium plant animal **living** things access energy breaking carbohydrate molecules plants make carbohydrate molecules would need break especially shown organisms release waste product acts substrate formation food photosynthesis remember **living** things need energy perform life functions addition organism either make food another organism either food still needs broken finally process breaking food called cellular respiration heterotrophs release needed energy produce waste form nature thing waste every single atom matter energy conserved recycling infinitely substances change form move type molecule another constituent atoms never disappear figure form waste oxygen wasteful photosynthesis byproducts reactions move reactions photosynthesis absorbs light energy build carbohydrates chloroplasts aerobic cellular respiration releases energy using oxygen metabolize carbohydrates cytoplasm mitochondria processes electron transport chains capture energy necessary drive reactions powerhouse processes photosynthesis cellular respiration function biological cyclical harmony allow organisms access life sustaining energy originates millions miles away burning star humans call,"('living', 2)","('What kind of things need energy perform life functions?', 'living [TGT] things access energy breaking carbohydrate molecules plants make carbohydrate molecules would need break especially shown organisms release waste product acts substrate formation food photosynthesis remember [TGT] living', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What kind of things need energy perform life functions?,living  things access energy breaking carbohydrate molecules plants make carbohydrate molecules would need break especially shown organisms release waste product acts substrate formation food photosynthesis remember  living
58,Increasing the temperature of n2 molecules increases what energy of motion?,emotional energy,compression energy,residual energy,kinetic energy,increasing temperature increases average kinetic **energy** n2molecules,"('energy', 1)","('What does increasing temperature increase in n2molecules?', 'energy', ['Acoustic Phenomenon', 'Atmospheric Phenomenon', 'Boundary Layer', 'Chaos', 'Chop', 'Cloud', 'Conduction', 'Decalescence', 'Electrical Phenomenon', 'Electricity', 'Event', 'Field', 'Flotation', 'Force', 'Hysteresis', 'Interaction', 'Mechanical Phenomenon', 'Opacity', 'Optical Phenomenon', 'Power', 'Pressure', 'Propagation', 'Reflection', 'Refraction', 'Resolution', 'Resolving Power', 'Resonance', 'Surface Tension', 'Syzygy', 'Transparency', 'Turbulence'], '(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs')",What does increasing temperature increase in n2molecules?,energy
59,Which radio frequency should you listen to if you want less noise?,cb,am,wave,fm,radio inherently less subject noise stray radio sources radio reason amplitudes waves receiver would interpret noise added onto amplitude carrier wave part information receiver made reject amplitudes basic carrier wave look variations frequency thus easier reject noise since noise produces variation amplitude television also broadcast electromagnetic waves since waves must carry great deal visual well audio information channel requires larger range frequencies simple radio transmission **channels** utilize frequencies range entire radio band lies **channels** **channels** called high frequency **channels** called ultra high frequency utilize even higher frequency range video signal audio note frequencies free transmission user utilizing fashioned roof antenna satellite dishes cable transmission occurs significantly higher frequencies rapidly evolving high definition format,"('channels', 4)","('What are high frequency channels called?', 'channels [TGT] utilize frequencies range entire radio band lies [TGT] channels [TGT] [TGT] channels [TGT] called high frequency [TGT] channels', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What are high frequency channels called?,channels  utilize frequencies range entire radio band lies  channels   channels  called high frequency  channels
60,What form of radiation is the energy emitted by the sun?,thermal,seismic,magnetic,electromagnetic,figure emits energy form electromagnetic radiation radiation exists **different** wavelengths characteristic energy electromagnetic radiation including visible light characterized wavelength,"('different', 1)","('What kind of wavelengths of electromagnetic radiation exist?', 'different', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What kind of wavelengths of electromagnetic radiation exist?,different
61,What is the suns innermost layer called?,flare,surface,solar,core,core innermost layer core plasma temperature **around** million degrees celsius nuclear fusion reactions create immense temperature reactions hydrogen atoms fuse form helium releases vast amounts energy energy moves towards outer layers energy core powers solar system,"('around', 1)","('How many million degrees celsius is the core innermost layer plasma temperature?', 'around', ['Word not found in Wordnet. So unable to extract distractors.'], None)",How many million degrees celsius is the core innermost layer plasma temperature?,around
62,A growth spurt requires constant divisions of what?,proteins,hairs,seeds,cells,grow develop must form **cells** imagine often **cells** must divide growth spurt growing inch requires countless cell divisions body must produce bone **cells** skin **cells** **cells** blood vessels,"('cells', 5)","('What must grow develop must form cells?', 'cells [TGT] imagine often [TGT] cells [TGT] must divide growth spurt growing inch requires countless cell divisions body must produce bone [TGT] cells [TGT] skin [TGT] cells [TGT] [TGT] cells', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What must grow develop must form cells?,cells  imagine often  cells  must divide growth spurt growing inch requires countless cell divisions body must produce bone  cells  skin  cells   cells
63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary pattern,complex progression,pattern progression,primary succession,pioneer species soon **replaced** populations abiotic factors soil quality water climate determine species continue process succession mosses grasses able grow newly created soil early succession plant species like grasses grow reproduce quickly take landscape time plants improve soil shrubs begin grow slowly shrubs **replaced** small trees small trees succeeded larger trees since trees successful competing resources shrubs grasses forest result primary succession,"('replaced', 2)","('What did pioneer species soon replace populations?', 'replaced [TGT] populations abiotic factors soil quality water climate determine species continue process succession mosses grasses able grow newly created soil early succession plant species like grasses grow reproduce quickly take landscape time plants improve soil shrubs begin grow slowly shrubs [TGT] replaced', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What did pioneer species soon replace populations?,replaced  populations abiotic factors soil quality water climate determine species continue process succession mosses grasses able grow newly created soil early succession plant species like grasses grow reproduce quickly take landscape time plants improve soil shrubs begin grow slowly shrubs  replaced
64,"Fungi may form mutualistic relationships with plants, algae, cyanobacteria, and what?",eggs,plants,farmers,animals,,none,,,
65,Which cycle tracks the flow of nitrogen through an ecosystem?,life cycle,nitrogen reaction,water cycle,nitrogen cycle,mariana ruiz villarreal ladyofhats foundation nitrogen cycle tracks flow nitrogen **ecosystem**,"('ecosystem', 1)","('What does the nitrogen cycle track?', 'ecosystem', ['Body', 'Dragnet', 'Economy', 'Judiciary', 'Language System', 'Machinery', 'Network', 'Nonlinear System', 'Organism', 'Rootage', 'Shebang', 'Social Organization', 'Solar System', 'Subsystem', 'Syntax', 'Water System'], 'a system formed by the interaction of a community of organisms with their physical environment')",What does the nitrogen cycle track?,ecosystem
66,What consequence of a tornado is responsible for most injuries and deaths?,falling debris,catching debris,touring debris,flying debris,tornado **strikes** small area destroy everything path injuries deaths tornadoes caused flying debris figure united states average people killed tornadoes year violent percent tornadoes account deaths tornadoes,"('strikes', 1)","('What type of tornado destroys everything path injuries?', 'strikes', ['Banzai Attack', 'Blitz', 'Bombing', 'Charge', 'Counterattack', 'Diversion', 'Fire', 'Ground Attack', 'Penetration', 'Strafe', 'Strike', 'Surprise Attack'], 'an attack that is intended to seize or inflict damage on or destroy an objective')",What type of tornado destroys everything path injuries?,strikes
67,What are the only truly innate behaviors in humans called?,feats,automatic movements,flinches,reflexes,animals innate behaviors even human **beings** think human behaviors learned chances hard time thinking truly innate behaviors humans called reflex behaviors occur mainly babies like innate behaviors animals reflex behaviors human babies help survive,"('beings', 1)","('Animals innate behaviors even human beings think human behaviors learned chances hard time thinking?', 'beings', ['Biont', 'Cell', 'Life', 'Organism'], 'a living thing that has (or can develop) the ability to act or function independently')",Animals innate behaviors even human beings think human behaviors learned chances hard time thinking?,beings
68,What happens to the density of air as the altitude decreases?,increases,multiplies,remains the same,decreases,pressure earth atmosphere **fluid** increases height column case earth atmosphere complications density uniform decreases altitude additionally distinct surface height measured however calculate approximate difference pressure altitudes using equation average pressure atmosphere level pressure often expressed,"('fluid', 1)","('What type of atmosphere increases height column?', 'fluid', ['Activator', 'Atom', 'Body Substance', 'Chemical Element', 'Chemistry', 'Element', 'Essence', 'Material', 'Medium', 'Mixture', 'Phlogiston', 'Protoplasm', 'Substrate', 'Volatile'], 'a substance that is fluid at room temperature and pressure')",What type of atmosphere increases height column?,fluid
69,How do some animals change their depth?,spontaneous mutations,mass migration,metamorphosis,by changing their density,animals change depth changing density recall things denser surroundings sink less dense surroundings float fish swim bladder special filled gases blood fish swim bladder full less dense surrounding water fish rise towards surface another property water affects lakes unique changes density phase changes density substances increases **liquid** becomes solid water solid water actually less dense **liquid** water reason floats imagine world sank lakes would freeze bottom killing many fish frozen water polar regions would sink change ocean levels fact floats essential survival many aquatic ecosystems ultimately life earth besides changes density ways phase changes water significant impacts water trapped small cracks rocks expand freezes break rock causing weathering transpiration evaporation water good sized tree move liters water ground single sublimation phase change solid responsible formation frost water many special properties make role nature unique considered universal solvent bipolar molecule enables dissolve wide variety substances water substance occurs naturally three states solid **liquid** water truly miracle life,"('liquid', 3)","('What happens when liquid becomes solid water?', 'liquid [TGT] becomes solid water solid water actually less dense [TGT] liquid [TGT] water reason floats imagine world sank lakes would freeze bottom killing many fish frozen water polar regions would sink change ocean levels fact floats essential survival many aquatic ecosystems ultimately life earth besides changes density ways phase changes water significant impacts water trapped small cracks rocks expand freezes break rock causing weathering transpiration evaporation water good sized tree move liters water ground single sublimation phase change solid responsible formation frost water many special properties make role nature unique considered universal solvent bipolar molecule enables dissolve wide variety substances water substance occurs naturally three states solid [TGT] liquid', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What happens when liquid becomes solid water?,liquid  becomes solid water solid water actually less dense  liquid  water reason floats imagine world sank lakes would freeze bottom killing many fish frozen water polar regions would sink change ocean levels fact floats essential survival many aquatic ecosystems ultimately life earth besides changes density ways phase changes water significant impacts water trapped small cracks rocks expand freezes break rock causing weathering transpiration evaporation water good sized tree move liters water ground single sublimation phase change solid responsible formation frost water many special properties make role nature unique considered universal solvent bipolar molecule enables dissolve wide variety substances water substance occurs naturally three states solid  liquid
70,What phenomenon is crowding out other species and making all the other causes of extinction worse?,migration,climate change,human suburbanization,human overpopulation,human overpopulation crowding species also makes **causes** extinction worse,"('causes', 1)","('What does overpopulation make extinction worse?', 'causes', ['Cause', 'Emanation', 'Germination', 'Preliminary'], 'events that provide the generative force that is the origin of something')",What does overpopulation make extinction worse?,causes
71,Dessication is an extreme and usually fatal form of what in animals?,starvation,diarrhea,depletion,dehydration,,none,,,
72,Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,photosynthesis,reproduction,metabolism,respiration,internal respiration internal respiration exchange occurs level body tissues figure similar external respiration internal respiration also occurs simple diffusion partial **pressure** gradient however partial **pressure** gradients opposite present respiratory membrane partial **pressure** oxygen tissues oxygen continuously used cellular respiration contrast partial **pressure** oxygen blood creates **pressure** gradient causes oxygen dissociate hemoglobin diffuse blood cross interstitial space enter tissue hemoglobin little oxygen bound loses much brightness blood returning heart burgundy color considering cellular respiration continuously produces carbon dioxide partial **pressure** carbon dioxide lower blood tissue causing carbon dioxide diffuse tissue cross interstitial fluid enter blood carried back lungs either bound hemoglobin dissolved plasma converted form time blood returns heart partial **pressure** oxygen returned partial **pressure**,"('pressure', 8)","('What type of gradient causes oxygen dissociate hemoglobin?', 'pressure [TGT] gradient however partial [TGT] pressure [TGT] gradients opposite present respiratory membrane partial [TGT] pressure [TGT] oxygen tissues oxygen continuously used cellular respiration contrast partial [TGT] pressure [TGT] oxygen blood creates [TGT] pressure [TGT] gradient causes oxygen dissociate hemoglobin diffuse blood cross interstitial space enter tissue hemoglobin little oxygen bound loses much brightness blood returning heart burgundy color considering cellular respiration continuously produces carbon dioxide partial [TGT] pressure [TGT] carbon dioxide lower blood tissue causing carbon dioxide diffuse tissue cross interstitial fluid enter blood carried back lungs either bound hemoglobin dissolved plasma converted form time blood returns heart partial [TGT] pressure [TGT] oxygen returned partial [TGT] pressure', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of gradient causes oxygen dissociate hemoglobin?,pressure  gradient however partial  pressure  gradients opposite present respiratory membrane partial  pressure  oxygen tissues oxygen continuously used cellular respiration contrast partial  pressure  oxygen blood creates  pressure  gradient causes oxygen dissociate hemoglobin diffuse blood cross interstitial space enter tissue hemoglobin little oxygen bound loses much brightness blood returning heart burgundy color considering cellular respiration continuously produces carbon dioxide partial  pressure  carbon dioxide lower blood tissue causing carbon dioxide diffuse tissue cross interstitial fluid enter blood carried back lungs either bound hemoglobin dissolved plasma converted form time blood returns heart partial  pressure  oxygen returned partial  pressure
73,The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,formation extinction,minor extinction,moderate extinction,mass extinction,mass extinction species evolve fill habitats species lived well **documented** fossil record,"('documented', 1)","('What is the fossil record of mass extinction?', 'documented', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the fossil record of mass extinction?,documented
74,"Soluble minerals and clays accumulate in what soil layer, allowing it to hold more water?",topsoil,silt,subsurface,subsoil,topsoil **horizon** also called subsoil soluble minerals clays accumulate subsoil less organic material layer lighter brown color topsoil also holds water presence iron clay less organic material layer,"('horizon', 1)","('What is another name for topsoil?', 'horizon', ['Bed', 'Cambium', 'Dermis', 'Epidermis', 'Seam', 'Stratum Corneum', 'Stratum Germinativum', 'Stratum Granulosum', 'Stratum Lucidum', 'Substrate', 'Superstrate', 'Wall'], 'a specific layer or stratum of soil or subsoil in a vertical cross section of land')",What is another name for topsoil?,horizon
75,What is the common word for potential difference in a circuit?,frequency,watt,velocity,voltage,conceptual questions electric potential energy potential difference voltage common word potential difference term descriptive voltage potential difference voltage points zero test charge moved zero work **done** necessarily **done** without exerting force explain relationship voltage energy precisely relationship potential difference electric potential energy voltages always measured points units volts electron volts related differ,"('done', 2)","('What is done without exerting force?', 'done [TGT] necessarily [TGT] done', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is done without exerting force?,done  necessarily  done
76,How many chambers does the stomach of a crocodile have?,three,six,ten,two,crocodilian **digestive** system highly adapted lifestyle crocodilians known swallow stones known gastroliths help digest prey crocodilian stomach divided chambers first powerful muscular stomach acidic **digestive** system animal digest mostly everything prey including bones feathers horns,"('digestive', 2)","('What type of system is crocodilian?', 'digestive [TGT] system highly adapted lifestyle crocodilians known swallow stones known gastroliths help digest prey crocodilian stomach divided chambers first powerful muscular stomach acidic [TGT] digestive', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of system is crocodilian?,digestive  system highly adapted lifestyle crocodilians known swallow stones known gastroliths help digest prey crocodilian stomach divided chambers first powerful muscular stomach acidic  digestive
77,"When populations get close to the carrying capacity, what happens to growth?",spikes,halts,dies,slows,populations usually grow bigger **need** fast grow depends birth death rates grow slowly close carrying capacity biggest population environment support,"('need', 1)","('Populations usually grow bigger what fast grow depends on birth death rates?', 'need', ['Absolution', 'Anchorage', 'Astigmatism', 'Atmosphere', 'Atonicity', 'Automation', 'Brutalization', 'Celibacy', 'Circumstance', 'Climate', 'Comfort', 'Condemnation', 'Curvature', 'Danger', 'Decline', 'Deification', 'Despair', 'Difficulty', 'Discomfort', 'Dishabille', 'Disorderliness', 'Diversification', 'Diversity', 'Dominance', 'Dryness', 'Economic Condition', 'Emptiness', 'Encapsulation', 'Ennoblement', 'Environmental Condition', 'Exoneration', 'Eye Condition', 'Facilitation', 'Financial Condition', 'Frizz', 'Fruition', 'Fullness', 'Guilt', 'Hairlessness', 'Health', 'Homelessness', 'Hopefulness', 'Hospitalization', 'Hyalinization', 'Identification', 'Immunity', 'Impaction', 'Impropriety', 'Improvement', 'Impurity', 'Iniquity', 'Innocence', 'Ionization', 'Irradiation', 'Lactosuria', 'Laxness', 'Leakiness', 'Light', 'Lubrication', 'Malady', 'Mechanization', 'Mode', 'Motivation', 'Mummification', 'Mutism', 'Nakedness', 'Niche', 'Noise Conditions', 'Nomination', 'Normality', 'Orderliness', 'Participation', 'Physical Condition', 'Place', 'Polarization', 'Prepossession', 'Preservation', 'Prognathism', 'Protuberance', 'Psychological State', 'Purity', 'Regularization', 'Reinstatement', 'Repair', 'Rustication', 'Rustiness', 'Safety', 'Sanitary Condition', 'Saturation', 'Scandalization', 'Serration', 'Silence', 'Situation', 'Ski Conditions', 'Soundness', 'Standardization', 'Stigmatism', 'Submission', 'Subservience', 'Susceptibility', 'Tension', 'Tilth', 'Unsoundness', 'Unsusceptibility', 'Urbanization', 'Vacuolization', 'Virginity', 'Way', 'Wetness'], 'a condition requiring relief')",Populations usually grow bigger what fast grow depends on birth death rates?,need
78,"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good what?",transporter,magnet,absorber,insulator,although transfer heat rapidly convection poor conductor thus good insulator amount available space airflow determines whether acts insulator conductor space inside outside walls house example large enough convection work effectively addition wall insulation prevents airflow heat **loss** gain decreased similarly panes double paned window prevents convection takes advantage conductivity prevent greater **loss** fiber fiberglass also take advantage conductivity trapping spaces small support convection shown figure feathers lightweight thus ideal protection animals,"('loss', 2)","('What does the wall insulation prevents airflow heat gain?', 'loss [TGT] gain decreased similarly panes double paned window prevents convection takes advantage conductivity prevent greater [TGT] loss', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does the wall insulation prevents airflow heat gain?,loss  gain decreased similarly panes double paned window prevents convection takes advantage conductivity prevent greater  loss
79,"Most plants grow continuously, except for what periods?",winter,abnormal,mutant,dormant,,none,,,
80,What man-made devices in space are used to observe the earth's surface?,sensors,crystals,telescopes,satellites,observations happen **many** scales microscope observe tiny things telescope observe distant things space learn effects climate change could observe earth surface would make observations earth surface could land surface space **many** important observations made orbiting satellites satellites bird view planet changing figure,"('many', 2)","('What scales microscope observe distant things space learn effects climate change?', 'many [TGT] scales microscope observe tiny things telescope observe distant things space learn effects climate change could observe earth surface would make observations earth surface could land surface space [TGT] many', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What scales microscope observe distant things space learn effects climate change?,many  scales microscope observe tiny things telescope observe distant things space learn effects climate change could observe earth surface would make observations earth surface could land surface space  many
81,"Carboxylic acids are weak acids, meaning they are not 100% ionized in what?",liquid,air,ethanol,water,carboxylic acids **weak** acids chapter acids bases meaning ionized water generally molecules carboxylic acid dissolved water ionized given time remaining molecules undissociated solution prepare carboxylic acids oxidation aldehydes alcohols whose functional group located carbon atom chain carbon atoms alcohol,"('weak', 1)","('What kind of acids are carboxylic acids?', 'weak', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What kind of acids are carboxylic acids?,weak
82,An endocrine disease usually involves the secretion of too much or not enough of what?,sweat,enzyme,metabolite,hormone,diseases endocrine system relatively common endocrine disease usually involves secretion much enough **hormone** much **hormone** secreted called hypersecretion enough **hormone** secreted called hyposecretion,"('hormone', 3)","('What is hypersecretion enough hormone?', 'hormone [TGT] much [TGT] hormone [TGT] secreted called hypersecretion enough [TGT] hormone', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is hypersecretion enough hormone?,hormone  much  hormone  secreted called hypersecretion enough  hormone
83,"In experiments with garden peas, austrian monk gregor mendel described the basic patterns of what?",color,behavior,preference,inheritance,thousands years humans understood characteristics color hair color even flower color passed generation next passing characteristics parent offspring called heredity humans long interested understanding heredity many hereditary mechanisms developed scholars properly tested quantified scientific study genetics begin late century experiments garden peas austrian monk gregor mendel described basic **patterns** inheritance keep mind know role genetic material mendel know existence understand concept chromosome process meiosis still able correctly describe basic inheritance **patterns**,"('patterns', 2)","('What did gregor mendel describe?', 'patterns [TGT] inheritance keep mind know role genetic material mendel know existence understand concept chromosome process meiosis still able correctly describe basic inheritance [TGT] patterns', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What did gregor mendel describe?,patterns  inheritance keep mind know role genetic material mendel know existence understand concept chromosome process meiosis still able correctly describe basic inheritance  patterns
